event_id,fight_id,fighter,w,str,td,sub,pass,weight_class,win_by,method,round,time,date,location,attendance,event_name,url
512,5549,Neil Magny,W,74,4,0,2,Welterweight,U-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/d66a8591af39ca7b
512,5549,Jingliang Li,L,16,2,0,0,Welterweight,U-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/d66a8591af39ca7b
512,5548,Alex Oliveira,W,40,1,0,2,Welterweight,S-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/4d607b6ddc77a34c
512,5548,Max Griffin,L,23,2,0,2,Welterweight,S-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/4d607b6ddc77a34c
512,5547,Sean O'Malley,W,18,0,0,0,Bantamweight,KO/TKO,Punches,1,2:02,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/cd258394e8d58d04
512,5547,Jose Quinonez,L,0,0,0,0,Bantamweight,KO/TKO,Punches,1,2:02,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/cd258394e8d58d04
512,5546,Mark Madsen,W,15,8,0,3,Lightweight,U-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/60c441c5838dfac2
512,5546,Austin Hubbard,L,41,0,0,0,Lightweight,U-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/60c441c5838dfac2
512,5545,Rodolfo Vieira,W,5,2,1,2,Middleweight,SUB,Arm Triangle,1,2:58,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/a70c43cafabc73c3
512,5545,Saparbeg Safarov,L,5,0,0,0,Middleweight,SUB,Arm Triangle,1,2:58,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/a70c43cafabc73c3
512,5544,Gerald Meerschaert,W,86,1,1,1,Middleweight,SUB,Rear Naked Choke,3,2:13,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/d671f436fab2a252
512,5544,Deron Winn,L,53,1,0,0,Middleweight,SUB,Rear Naked Choke,3,2:13,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/d671f436fab2a252
512,5543,Giga Chikadze,W,38,0,0,0,Featherweight,S-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/daa38964824f1b9f
512,5543,Jamall Emmers,L,54,2,0,1,Featherweight,S-DEC,,3,5:00,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/daa38964824f1b9f
512,5542,Danaa Batgerel,W,17,0,0,0,Bantamweight,KO/TKO,Punch,1,3:01,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/467e08195b29e857
512,5542,Guido Cannetti,L,11,0,0,0,Bantamweight,KO/TKO,Punch,1,3:01,"March 07, 2020","Las Vegas, Nevada, USA","15,077",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/467e08195b29e857
511,5541,Deiveson Figueiredo,W,25,1,1,0,Flyweight,KO/TKO,Punch,2,1:54,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/e8219ea7da46f67f
511,5541,Joseph Benavidez,L,46,0,0,0,Flyweight,KO/TKO,Punch,2,1:54,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/e8219ea7da46f67f
511,5540,Felicia Spencer,W,40,1,0,2,Women's Featherweight,KO/TKO,Punches,1,3:37,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/8a85dffa80e6c7bd
511,5540,Zarah Fairn,L,13,0,0,0,Women's Featherweight,KO/TKO,Punches,1,3:37,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/8a85dffa80e6c7bd
511,5539,Magomed Ankalaev,W,8,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:38,"February 29, 2020","Norfolk, Virginia, USA","7,098",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/f5b49f4c5a27e53b
