fight_id,event_id,date,weight_class,winner,loser,win_by,method,round,time,time_format,title_fight,fight_of_night,performance_bonus,fight_name,referee,attendance,location,event_name,url
5549,512,2020-03-07,Welterweight,Neil Magny,Jingliang Li,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Keith Peterson,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/d66a8591af39ca7b
5548,512,2020-03-07,Welterweight,Alex Oliveira,Max Griffin,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Mark Smith,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/4d607b6ddc77a34c
5547,512,2020-03-07,Bantamweight,Sean O'Malley,Jose Quinonez,KO/TKO,Punches,1,2:02,3 Rnd (5-5-5),False,False,True,Bantamweight Bout,Dan Miragliotta,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/cd258394e8d58d04
5546,512,2020-03-07,Lightweight,Mark Madsen,Austin Hubbard,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Chris Tognoni,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/60c441c5838dfac2
5545,512,2020-03-07,Middleweight,Rodolfo Vieira,Saparbeg Safarov,SUB,Arm Triangle,1,2:58,3 Rnd (5-5-5),False,False,False,Middleweight Bout,Jason Herzog,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/a70c43cafabc73c3
5544,512,2020-03-07,Middleweight,Gerald Meerschaert,Deron Winn,SUB,Rear Naked Choke,3,2:13,3 Rnd (5-5-5),False,False,False,Middleweight Bout,Keith Peterson,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/d671f436fab2a252
5543,512,2020-03-07,Featherweight,Giga Chikadze,Jamall Emmers,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Mark Smith,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/daa38964824f1b9f
5542,512,2020-03-07,Bantamweight,Danaa Batgerel,Guido Cannetti,KO/TKO,Punch,1,3:01,3 Rnd (5-5-5),False,False,False,Bantamweight Bout,Chris Tognoni,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/467e08195b29e857
5541,511,2020-02-29,Flyweight,Deiveson Figueiredo,Joseph Benavidez,KO/TKO,Punch,2,1:54,5 Rnd (5-5-5-5-5),True,False,False,UFC Flyweight Title Bout,Dan Miragliotta,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/e8219ea7da46f67f
5540,511,2020-02-29,Women's Featherweight,Felicia Spencer,Zarah Fairn,KO/TKO,Punches,1,3:37,3 Rnd (5-5-5),False,False,False,Women's Featherweight Bout,Dan Miragliotta,"7,098","Norfolk, Virginia, USA",UFC Fight Night: Benavidez vs. Figueiredo,http://www.ufcstats.com/fight-details/8a85dffa80e6c7bd
