fight_id,fighter,w,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5543,Giga Chikadze,W,0,38,122,0.31,40,125,0,0,1,0,0,0.0,19,88,10,23,9,11,37,120,0,1,1,1
5543,Jamall Emmers,L,0,54,127,0.42,57,130,0,1,0,2,6,0.33,32,94,15,23,7,10,48,118,3,5,3,4
5542,Danaa Batgerel,W,1,17,33,0.51,17,33,0,0,0,0,0,0.0,16,29,0,2,1,2,12,27,0,1,5,5
5542,Guido Cannetti,L,0,11,23,0.47,11,23,0,0,0,0,0,0.0,0,7,3,6,8,10,9,21,2,2,0,0
5541,Deiveson Figueiredo,W,1,25,49,0.51,25,49,1,0,0,1,1,1.0,18,39,7,10,0,0,20,44,2,2,3,3
5541,Joseph Benavidez,L,0,46,94,0.48,46,94,0,0,0,0,2,0.0,28,63,8,13,10,18,36,78,10,16,0,0
5540,Felicia Spencer,W,0,40,64,0.62,68,98,0,2,0,1,2,0.5,38,61,1,1,1,2,9,24,1,1,30,39
5540,Zarah Fairn,L,0,13,28,0.46,14,29,0,0,0,0,0,0.0,12,27,1,1,0,0,12,26,1,2,0,0
5539,Magomed Ankalaev,W,0,8,12,0.66,8,12,0,0,0,0,0,0.0,6,10,1,1,1,1,8,12,0,0,0,0
5539,Ion Cutelaba,L,0,5,11,0.45,5,11,0,0,0,0,0,0.0,3,8,0,1,2,2,5,11,0,0,0,0
5538,Megan Anderson,W,1,7,14,0.5,32,39,0,0,1,0,1,0.0,6,12,1,2,0,0,5,11,2,2,0,1
5538,Norma Dumont,L,0,5,16,0.31,14,25,0,0,0,1,3,0.33,1,9,4,5,0,2,1,11,4,5,0,0
5537,Grant Dawson,W,0,15,22,0.68,42,52,2,6,0,2,3,0.66,14,21,1,1,0,0,1,2,0,0,14,20
5537,Darrick Minner,L,0,4,7,0.57,26,29,2,0,1,1,1,1.0,1,3,1,1,2,3,2,5,1,1,1,1
5536,Kyler Phillips,W,0,89,168,0.52,112,195,1,4,0,2,4,0.5,66,139,13,19,10,10,58,124,11,15,20,29
5536,Gabriel Silva,L,0,31,97,0.31,43,112,1,0,0,2,6,0.33,22,85,6,9,3,3,27,89,1,3,3,5
5535,Brendan Allen,W,0,20,29,0.68,38,52,0,2,0,0,1,0.0,17,26,3,3,0,0,2,3,2,3,16,23
5535,Tom Breese,L,0,4,5,0.8,5,6,0,0,0,0,1,0.0,0,0,4,5,0,0,0,1,4,4,0,0
5534,Marcin Tybura,W,0,43,106,0.4,116,199,0,3,0,2,8,0.25,36,90,7,16,0,0,15,63,5,8,23,35
5534,Serghei Spivac,L,0,26,83,0.31,40,101,0,0,0,0,1,0.0,23,80,3,3,0,0,20,74,6,9,0,0
5533,Luis Pena,W,0,27,42,0.64,58,95,1,3,0,0,1,0.0,24,38,1,2,2,2,6,15,2,3,19,24
5533,Steve Garcia,L,0,21,39,0.53,98,153,1,0,0,1,1,1.0,15,32,2,3,4,4,14,27,1,1,6,11
5532,Jordan Griffin,W,0,15,23,0.65,20,28,3,0,0,0,1,0.0,13,21,2,2,0,0,9,17,3,3,3,3
5532,TJ Brown,L,0,32,47,0.68,91,119,0,4,0,7,7,1.0,26,39,6,7,0,1,9,22,10,10,13,15
5531,Spike Carlyle,W,0,20,29,0.68,29,38,0,1,0,0,0,0.0,19,27,0,1,1,1,2,6,4,5,14,18
5531,Aalon Cruz,L,0,2,12,0.16,2,12,0,0,0,0,1,0.0,2,4,0,4,0,4,2,12,0,0,0,0
5530,Sean Brady,W,0,47,91,0.51,125,191,1,6,0,4,9,0.44,30,71,3,3,14,17,32,73,1,1,14,17
5530,Ismail Naurdiev,L,0,37,87,0.42,38,88,0,0,0,0,1,0.0,16,64,10,10,11,13,33,79,4,8,0,0
5529,Dan Hooker,W,0,122,221,0.55,133,234,0,1,0,1,5,0.2,72,161,10,13,40,47,120,217,2,4,0,0
5529,Paul Felder,L,0,110,230,0.47,119,243,0,0,0,0,1,0.0,64,170,19,26,27,34,105,218,5,12,0,0
5528,Jimmy Crute,W,0,2,8,0.25,13,23,1,4,0,8,10,0.8,2,7,0,1,0,0,2,6,0,2,0,0
5528,Michal Oleksiejczuk,L,0,3,6,0.5,7,10,0,0,0,0,0,0.0,3,6,0,0,0,0,3,6,0,0,0,0
5527,Xiaonan Yan,W,0,93,178,0.52,157,254,0,3,0,5,6,0.83,59,138,20,23,14,17,73,151,7,10,13,17
5527,Karolina Kowalkiewicz,L,0,38,85,0.44,51,103,1,0,0,0,1,0.0,19,55,7,14,12,16,35,79,3,6,0,0
