fight_id,fighter,round,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
2231,Mizuto Hirota,1,0,0,1,0.0,3,5,0,0,0,0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0
2231,Rani Yahya,1,0,3,8,0.37,55,61,0,4,0,3,4,0.75,3,7,0,1,0,0,1,3,0,0,2,5
2231,Mizuto Hirota,2,0,0,3,0.0,5,8,0,0,0,0,0,0.0,0,3,0,0,0,0,0,1,0,1,0,1
2231,Rani Yahya,2,0,8,13,0.61,46,51,1,3,0,1,1,1.0,6,11,2,2,0,0,0,2,1,1,7,10
2231,Mizuto Hirota,3,0,4,10,0.4,31,43,0,1,0,1,1,1.0,3,9,1,1,0,0,4,10,0,0,0,0
2231,Rani Yahya,3,0,2,8,0.25,4,10,0,2,0,1,7,0.14,2,8,0,0,0,0,2,8,0,0,0,0
2230,Dong Hyun Kim,1,0,6,10,0.6,72,76,0,2,0,1,3,0.33,5,9,0,0,1,1,5,9,0,0,1,1
2230,Siyar Bahadurzada,1,0,1,11,0.09,1,11,0,0,0,0,0,0.0,1,10,0,1,0,0,1,11,0,0,0,0
2230,Dong Hyun Kim,2,0,6,12,0.5,62,71,0,2,0,1,2,0.5,6,12,0,0,0,0,0,1,0,0,6,11
2230,Siyar Bahadurzada,2,0,1,7,0.14,14,20,0,0,0,0,0,0.0,1,5,0,1,0,1,1,7,0,0,0,0
2230,Dong Hyun Kim,3,0,11,36,0.3,48,74,1,4,0,1,1,1.0,5,30,6,6,0,0,1,2,0,0,10,34
2230,Siyar Bahadurzada,3,0,3,6,0.5,10,14,0,0,0,0,0,0.0,2,5,0,0,1,1,2,3,0,0,1,3
2229,Riki Fukuda,1,0,16,41,0.39,17,43,0,0,0,1,1,1.0,4,23,2,4,10,14,14,39,2,2,0,0
2229,Brad Tavares,1,0,29,57,0.5,35,63,0,0,0,0,0,0.0,19,46,6,6,4,5,28,56,1,1,0,0
2229,Riki Fukuda,2,0,20,54,0.37,22,56,0,0,0,0,0,0.0,11,37,4,6,5,11,20,54,0,0,0,0
2229,Brad Tavares,2,0,43,91,0.47,45,94,0,0,0,0,0,0.0,30,75,8,10,5,6,43,89,0,2,0,0
2229,Riki Fukuda,3,0,33,77,0.42,36,83,0,0,0,0,0,0.0,20,58,5,6,8,13,32,76,1,1,0,0
2229,Brad Tavares,3,0,44,106,0.41,51,113,0,0,0,0,0,0.0,37,96,4,4,3,6,42,102,2,4,0,0
2228,Takeya Mizugaki,1,0,25,40,0.62,40,55,0,0,0,0,1,0.0,15,29,6,7,4,4,21,33,4,7,0,0
2228,Bryan Caraway,1,0,13,32,0.4,27,49,0,1,0,1,5,0.2,12,31,0,0,1,1,13,30,0,2,0,0
2228,Takeya Mizugaki,2,0,13,23,0.56,28,38,0,0,0,0,0,0.0,8,18,4,4,1,1,13,23,0,0,0,0
2228,Bryan Caraway,2,0,7,23,0.3,17,34,1,2,0,1,3,0.33,5,21,1,1,1,1,6,22,0,0,1,1
2228,Takeya Mizugaki,3,0,29,54,0.53,49,75,0,0,0,0,0,0.0,19,44,8,8,2,2,24,43,5,11,0,0
2228,Bryan Caraway,3,0,17,34,0.5,25,42,0,0,0,0,4,0.0,14,30,2,3,1,1,14,29,3,5,0,0
2227,Cristiano Marcello,1,0,15,29,0.51,27,44,0,0,0,0,0,0.0,10,21,4,5,1,3,11,25,3,3,1,1
2227,Kazuki Tokudome,1,0,14,27,0.51,40,64,0,1,0,0,0,0.0,7,18,3,4,4,5,7,13,3,3,4,11
2227,Cristiano Marcello,2,0,7,23,0.3,14,33,0,0,0,1,3,0.33,6,20,0,2,1,1,6,22,1,1,0,0
2227,Kazuki Tokudome,2,0,10,21,0.47,23,43,0,2,0,1,1,1.0,8,17,2,2,0,2,8,19,0,0,2,2
2227,Cristiano Marcello,3,0,11,24,0.45,26,40,0,0,0,0,1,0.0,5,16,3,4,3,4,7,17,4,7,0,0
2227,Kazuki Tokudome,3,1,9,29,0.31,27,71,0,2,0,1,1,1.0,5,23,3,4,1,2,7,18,0,0,2,11
2226,Alex Caceres,1,0,7,19,0.36,13,25,0,0,2,0,0,0.0,2,13,2,3,3,3,5,16,0,0,2,3
2226,Kyung Ho Kang,1,0,6,13,0.46,16,24,0,4,0,3,4,0.75,3,9,1,1,2,3,4,11,1,1,1,1
2226,Alex Caceres,2,0,6,13,0.46,24,32,0,0,1,0,0,0.0,4,10,2,3,0,0,1,7,1,1,4,5
2226,Kyung Ho Kang,2,0,5,15,0.33,11,25,0,3,1,2,4,0.5,3,12,1,2,1,1,5,14,0,0,0,1
2226,Alex Caceres,3,0,17,24,0.7,43,55,0,2,0,0,0,0.0,12,19,5,5,0,0,4,7,0,0,13,17
2226,Kyung Ho Kang,3,0,5,15,0.33,6,20,0,1,1,0,1,0.0,5,14,0,1,0,0,2,10,0,0,3,5
2225,Marcelo Guimaraes,1,0,20,48,0.41,22,60,0,0,0,1,8,0.12,10,34,2,3,8,11,20,48,0,0,0,0
2225,Hyun Gyu Lim,1,0,31,72,0.43,32,73,0,0,0,0,0,0.0,19,58,6,8,6,6,31,72,0,0,0,0
2225,Marcelo Guimaraes,2,0,27,51,0.52,31,56,0,1,0,1,4,0.25,11,32,7,8,9,11,27,50,0,0,0,1
2225,Hyun Gyu Lim,2,1,31,62,0.5,31,62,0,0,0,0,0,0.0,22,51,4,6,5,5,29,60,0,0,2,2
2224,Ronda Rousey,1,0,7,14,0.5,41,50,1,3,0,1,1,1.0,6,13,1,1,0,0,1,5,2,2,4,7
2224,Liz Carmouche,1,0,4,6,0.66,22,24,1,1,0,0,0,0.0,4,6,0,0,0,0,3,5,1,1,0,0
2223,Lyoto Machida,1,0,10,18,0.55,10,18,0,0,0,1,1,1.0,6,11,4,6,0,1,6,14,0,0,4,4
2223,Dan Henderson,1,0,12,28,0.42,13,29,0,0,0,0,0,0.0,2,11,4,4,6,13,8,24,4,4,0,0
2223,Lyoto Machida,2,0,11,25,0.44,11,25,0,0,0,0,0,0.0,7,18,4,6,0,1,11,25,0,0,0,0
2223,Dan Henderson,2,0,6,26,0.23,7,27,0,0,0,0,2,0.0,2,14,1,4,3,8,5,23,1,3,0,0
2223,Lyoto Machida,3,0,6,11,0.54,7,12,0,0,0,0,0,0.0,4,7,1,2,1,2,6,11,0,0,0,0
2223,Dan Henderson,3,0,2,10,0.2,34,42,0,0,0,1,1,1.0,1,6,0,1,1,3,1,8,0,0,1,2
2222,Urijah Faber,1,0,17,24,0.7,29,36,1,2,1,0,0,0.0,16,23,1,1,0,0,1,3,1,1,15,20
2222,Ivan Menjivar,1,0,3,7,0.42,19,23,0,1,0,1,1,1.0,3,6,0,1,0,0,1,3,2,3,0,1
