first,last,full_name,nickname,height,weight,reach,stance,w,l,d,url
Thomas,Almeida,Thomas Almeida,Thominhas,"5' 7""",135 lbs.,"70.0""",Southpaw,22.0,3.0,0.0,http://www.ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka,Almeida,Ericka Almeida,,"5' 6""",115 lbs.,"68.0""",Orthodox,7.0,2.0,0.0,http://www.ufcstats.com/fighter-details/67a992d4cff22466
Estefani,Almeida,Estefani Almeida,,"5' 4""",125 lbs.,--,Orthodox,7.0,2.0,0.0,http://www.ufcstats.com/fighter-details/f16ddfa31236efed
Mauricio,Alonso,Mauricio Alonso,,"6' 2""",170 lbs.,--,,13.0,7.0,0.0,http://www.ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah,Alpar,Sarah Alpar,Too Sweet,"5' 4""",135 lbs.,--,Southpaw,8.0,4.0,0.0,http://www.ufcstats.com/fighter-details/49b130de1da2e1bf
Rico,Altamirano,Rico Altamirano,,"5' 10""",170 lbs.,--,,3.0,2.0,0.0,http://www.ufcstats.com/fighter-details/c61b49cec6abd6b9
Mike,Altman,Mike Altman,,"5' 10""",185 lbs.,--,Orthodox,1.0,4.0,0.0,http://www.ufcstats.com/fighter-details/c11036da9162cb5f
Sean,Alvarez,Sean Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4.0,3.0,0.0,http://www.ufcstats.com/fighter-details/e741536153227386
Eddie,Alvarez,Eddie Alvarez,The Underground King,"5' 9""",155 lbs.,"69.0""",Orthodox,29.0,6.0,0.0,http://www.ufcstats.com/fighter-details/33a331684283900f
Jaime,Alvarez,Jaime Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6.0,1.0,0.0,http://www.ufcstats.com/fighter-details/4438482bd1d5a029
Joel,Alvarez,Joel Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,16.0,2.0,0.0,http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago,Alves,Thiago Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,28.0,15.0,0.0,http://www.ufcstats.com/fighter-details/31ee470ef5dc8d7f
